time;bit Depth;Time SDL Fast SPP Avg;Total Flow;TQ;rpm
04:00;14933.3 ;1816;300;12;79
04:05;14934.2;1864;299;12;79
04:10;14935.5;2013;305;12;79
04:15;14936.9;1904;164;15;80
04:20;14927.5;1982;155;15;80
04:25;14926.0;1716;201;15;80
04:30;14924.1;1848;204;14;80
04:35;14930.9;1508;161;14;120
04:40;14932.6;1411;301;14;80
04:45;14934.2;1808;299;13;80
04:50;14935.3;1825;301;13;80
04:55;14932.0;1837;308;13;80
05:00;14949.3;1806;312;13;80
